"Series Number",Filename,Name,Description,Gender,"Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness",UUID,Hash
23,salam-the-odogwu,"salam the odogwu","salam is a big time textile marketer always sourcing for quality materials",male,"hair:none, eyes:brown, teeth:none, clothings:wine and yellow, accessories:yayada cap, expression:happy, strength:influence, weakness:impatience ",f2957ded-022c-4b07-92c6-b345d4816a67,e2b039925c93717e0e0dd7cbda9ec5ba09aa9dc6b01317d38982f16c9089ab11
24,charles-the-exporter,"charles the exporter","charles a business man an importer and exporter never to be caught idle",male,"hair:none,eyes: grey, teeth:none clothings:orange and blue, accessories:okpu ozo cap, expression:happy, strength:empathetic  weakness:none",09395e76-19ed-4852-8748-795ee7496a8e,ab6f3f5d412172969399bac47ee6f2f4e59405e35dd8031ebedb80dcf0fb70fc
25,wole-the-pimp,"wole the pimp","wole knows all the babes in town and is always pimping them out",male,"hair:none, eyes:black, teeth:none, clothings:yellow dashiki, accessories:yori yori, expression:happy, strength:strong weakness:none",4d94d4f7-9b69-4e43-9db1-1fe83df92857,78e4dc0ed42b55a58b7e3098d474b34ed103908b0756055c75501c91c776b398
26,saro-the-baller,"saro the baller","saro is a baller and is always ready to turnup",male,"hair:none, eyes: blue, teeth:none, clothings:black and yellow dashiki, accessories:none, expression:angry, strength:strong",d35a7514-8996-42fb-a5f2-5a603ec679c5,a7dea8aebc9d6196d123bd133c81f721205f6a57acd16b53b413d6ac2ba8f6b3
27,ade-omo-yoruba,"ade omo yoruba","ade a yourba man takes pride in the yourba tribe",male,"hair:none,eyes: black,teeth:none clothings: purple and yellow, accessories:fila cap, expression:happy, strength:hardworking, weakness:procrastination ",92984fa0-310b-4377-8a10-15965d044383,48d2b6ec2b52031fea2150d6b8d83f1525b0a0e08d60ec114d4d9bf6af1ec0ca
28,shola-cool-kid," shola cool kid","shola prefers to be alone because he hates stress",male,"hair:none, eyes:none, teeth:none clothings:yellow t-shirt and blue dongaris, accessories:red facecap, expression:playful, strength:",3ac5c186-bc14-4eb6-8567-cc818465a64f,e14c8781fed3c69f41ff7687a66eabd4894a04920bef60ebfeb78f4b47bd82a2
29,charlie-the-smoker,"charlie the smoker","charlie uses smoking as a coping mechanism",male,"hair:none, eyes:black, teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:nice, weakness:gullible",71a0aa22-d111-43b7-8484-43d87310bc42,9a9dc9a5db87955b350e189fccc6f62c5a926f21db64b2ca76bdb110619a0c0e
30,femi-the-badguy,"femi the badguy","femi is the biggest guy in lagos and he has served plenty babes breakfast",male,"hair:none,eyes: black, teeth:none, clothings:white t-shirt and blue dongaris, accessories:smoking pipe, expression:none, strength:",e493e3fb-a8a0-455a-854f-0f6474bbc69f,63f91382458a267345e1abcb34e778649f9d2db7a789f7b4d3a95d4a3e4b4a50
31,sinzu-money,"sinzu money","sinzu loves spending money on flashy things",male,"hair:none, eyes: blue, teeth:none, clothings: purple and yellow kaftan, accessories:green-stripped fila cap, expression:strength, strength:generous weakness:aggressive ",942f8347-9932-4331-bd15-d0f3a048b54f,0261df72fd12eef81d41266605089febbb6cf7af0e5eda1b1f6a7c3a0d869c4b
32,"obinna-the-palmwine tapper","obinna the palmwine tapper","obinna taps palmwine for a living",male,"hair: none, eyes: blac,k, teeth: none, clothings: yellow, black and a touch of pink ankara, accessories: cap, expression: happy, strength: contentment, weakness: naive",0f1af056-2548-4407-bed4-abc11deae05d,e5c56858c5e70f6e931fe8c5e92a111464464e81657c9236f628b1d2d3501fe2
33,aminu-maikudi,"aminu maikudi","aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it",male,"hair: none, eyes: black, teeth: none, clothings: maroon and yellow agbada, accessories: cap, expression: unbothered, strength: confidence, weakness: selfishness",0129e7a5-e3d0-4675-92d0-1a1e55d11612,97e2d827d8afddf2c3a3be3592bc30749099615b1eb117a9da6988ced14704ce
34,"sabinus-the-town crier","sabinus the town crier","sabinus delivers messages to his town people",male,"hair: none, eyes: black, teeth: two white teeth with diastema, clothings: orange ankara with touches of blue, accessories: cap, expression: happy, strength: dexterity, weakness: impatience",01d4ce96-818e-44b1-8813-68a7d34b35ba,fafdc38308f802afbee8bf859d395e166ff20113c3f37cbc492f3a2e4512604a
35,adisa-ibadan,"adisa ibadan","adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,"hair: none, eyes: black, teeth: none, clothings: kente accessories:abeti-aja cap, expression: mischievous, strength: independent, weakness: bossy",3a925f27-35f6-4dbf-9960-c6527fae5f3e,58c33348f1acc659aa85def7c782986561429dbdd4eae6626a519c59f00406c2
36,linda-the-navigator,"linda the navigator","linda knows how to make a way for herself and people around her",female,"hair: blonde, eyes: none, teeth: none, clothings:multicolored, accessories: glasses, expression: confused, strength: creative, weakness: insecure",71f335a6-5a4f-4410-9cea-179336f0e498,8d2dc0ade1bcfa387935a30367d120e73d308060f2aeffae02e6defa6c6555b6
37,"kemi-the-iron lady","kemi the iron lady","kemi the strongest woman known to the town of  igbede people",female,"hair: ginger, eyes: none, teeth: none, clothings: ankara, accessories:glasses and a pipe, expression: cool, strength: disciplined, weakness: perfectionist ",35b11a31-5b92-49f4-8fb1-30f255d22054,2c3fa2d74b639869b010a29e53b6dd83e383172fa42b3ddff7577dd1b12fb8a6
38,"mercy-the-sassy lady","mercy the sassy lady","mercy only care about spending her father's money and treats people like trash",female,"hair: brown, eyes: none, teeth:none, clothings: ankara, accessories: glasses, expression: sassy, strenght: creative, weakness: sensitive",7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,4135906a800e028b8d99174b3a8ece4116fbeac9dc5ce9954fee7a78ac3e9f6c
39,sandra-money,"sandra money","sandra likes getting and spending money",female,"hair: brown, eyes: none, teeth:none, clothings:yellow and black, accessories: glasses, expression: confused, strength: brave, weakness: overthinker",1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,002d6370d2362beca2666e4f8ba38899cec5f20f9acf43480d3d2208edbc85d9
40,bimpe-the-fashionista,"bimpe the fashionista","bimpe loves wearing trendy clothes and looking gorgeous",female,"hair: blonde, eyes: none, teeth:gap teeth, clothings: black cold shoulder shirt, accessories: glasses, expression: shocked, strength: intelligent, weakness: procrastination",92b548b7-998b-46b6-8198-80d407209483,e6bbaddda1bf5bbe012d00c1d911f1796cb279fdd6c2226bb0297eb26fccabdb
"TEAM ENGINE",,,,,,
41,kim-rich-aunty,"kim rich aunty","she loves spoiling her nieces and nephew",Female,"Hair: blue. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",3344a73c-f15e-4afd-a1b2-3199e27eb08f,7c158a8f82e173d2aabad6e5337b1f674e1f3e3980930c0fe253d1fe55c53e21
42,barbra-vampire-bc,"barbra vampire bc","she loves drinking the blood of her victims",Female,"Hair: blue. Eyes:none . Teeth: gap. Clothing: ankara . Accessories:chain . Expression: grinning. Strength:team player . Weakness:money.",4f31fd99-4918-42a9-a112-fa60ef36d5c6,47c0d4ee214141b439c46c12e85cd53b87fdce3d9ed737d545120794f7c2adc2
43,jean-art-dolger,"jean art dolger","loves collecting art for charity ",Female,"Hair: ginger. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:ears . Expression: frown. Strength:brave . Weakness:men",5e1105d9-e485-462d-a5bf-1eb931976b13,a0f604beffc04618521151e6fa76270fae352b2b33acb51505adbd3b16c4ddab
44,"flora-burger- eater","flora burger eater","she loves eating burgers",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:height",054dffd1-cdff-417b-b6c2-a679dabd087b,093ec32f16dc9a4e012b20f72d8196dbef51164f6bf66d7b0797d14f1fa53533
45,jessie-lord-rings,"jessie lord rings","she seeks her 'precious'",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",caacabe1-0abc-43af-92e2-2231248bff93,b70abdc2f20adcfa2cd38b829d98243e03d82b4e4460e41b0e3eae0013063218
46,pinky-monky-ponk,"pinky monky ponk","she love to dance the honky tonk",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",bd6a4b38-543e-40fa-9153-f7e1a947ebb1,532b0cb5a2a23e4fecfb6ec763c29618c5db76e193383ed82be97d2bb90ab162
47,wanjiru-hippie-glitter,"wanjiru hippie glitter","a hippie that loves her glitters",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",683f0d27-3cb4-4948-b1b5-09f10bee575a,5d4611b96c8d34ec129d3415642f5d8b56025b405a9bbca8ea4c19a19e5e88f9
48,njoki-binary-coder,"njoki binary coder","she codes with the best and tops the set",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",9b59bdb4-0c6c-4107-9d72-6d38d308edb4,bb2d7f9a1558840a7bb18e2970d9336839c6b015a609e2441d30c764528cfa4d
49,wangu-calaba-hustler,"wangu calaba hustler","she's a mean hustler so be careful",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",67f7da93-3925-4def-b660-58f558c14a19,5c695ee561c6e792d832393539b451d52ed58403611ced4d2b4b674647fed789
50,lulu-dey-kpako,"lulu dey kpako","she's as skinny as she is beautiful",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",23b6c38f-ab84-4565-bfe9-d9eb019c9f29,01d7e9216f5594d7dadff650802c1336af11526703fc47641e59e6f0bbaca5a1
51,kiki-cala-flier,"kiki cala flier","she flies first class and gets the best deals",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",d24aefff-c9fc-4ea9-a7cf-1b741076c822,4deb668ca4ea6a5ad096e783e680296e7b864349f3178aa470b1b9fdb3f216ea
52,"purity-nft -investor","purity nft investor","she is an angel investor looking for the next big thing",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",ee86ef77-4793-411a-88d3-ea54d84f6b24,835f25ab048282fb23bfad5194365dd356bd1b87673379fe8ab7e91a9189a76d
53,june-binary-monk,"june binary monk","she has a twin thats from Tibet ",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",102c4cdb-f812-44fd-bf47-5065284c6075,ae2628b99f16d44f44d3fd6578d045a99c87985bbc2b396db59d5ccb3960f5b3
54,aisha-crows-damsel,"aisha crows damsel","she is always a damsel in distress",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",c4071af3-b49e-4ad6-898b-7828f90465fb,a7bdd1987550e32fe943918a8dacf70ea0824ec26fe7b3d24ca12b88f8e4bb03
55,bobo-crypto-lovely,"bobo crypto lovely","she is a crpto guru you can trust all through",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",427ea0f5-30a3-4d70-a5bd-a6106409b83c,d5dc399bd54426b75b624d8ee126a2f4bb880597dafee42e8de6721e376783e2
56,"nell-light -embrace","nell light embrace","she is an empath; ready with a kind word or hug",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",9dfe30b4-c71a-471c-8091-f5c4a238eed8,4b16b689d4231e272af86a058e77a3b8b8eb3a9e0ba92fba12d6f395e86a2401
57,rachel-mood-silent,"rachel mood silent","introvert  to the core, a mysterious lady",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",11450acd-f0d7-406f-bc18-bdb680404845,a7e904b4965193b05e1111a506d9816c55d9e3e126a0339c89a4e41d115b5fdb
58,nana-reflector-agent,"nana reflector agent","she loves her chrome fashion stye",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",63bda633-bfca-4b28-823f-7772936b4103,7118444131d70d64037c9be6f7f7c4e10f035b050b2a9b9823548aa706809d40
59,bree-busy-gossip,"bree busy gossip","never wisper your secrets to her, except you want the world to know",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",4f5898d9-fc99-4053-a56c-b2ec1ef41347,5dd22c6cb495c754c3dafc2ae6c3a7832a8f828649a3c70f1ac81429b668e47d
60,jude-shadow-fighter,"jude shadow fighter","a ninja warrior, the last samurai standing",Female,"Hair: black. Eyes:brown . Teeth: none . Clothing: ankara . Accessories:none . Expression: smiling. Strength:brave . Weakness:food .",a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,45ff3918c0214da4fb8bf574cec28bbcf86675af40faa926b6748034f9889c1e
,,,,,,
"TEAM GRIT",,,,,,
61,toy-soldier,"toy soldier","a man stronger than an army",male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: happy, strengths: powerful, weakness: sentimental",fc8ea3ac-59d1-11ed-9b6a-0242ac120002,6b66a461ec1522a9b2d59a61eb7d362676b59a74443ba796a74ba9a81d87be54
62,pipey-rivers,"pipey rivers","a man who loves the water so much and fixes its path",male,"hair:bald, eyes: opened, teeth:none, clothing: overall, accessories: nose mask, strengths: calculative, weakness: public speaking",58f69cae-59d1-11ed-9b6a-0242ac120002,6723e7bc87103136c5e24ab1a1aeab4d9a3e6217c9cd4ebe2afd8944fa41e7af
63,phiri-of-zambia,"phiri of zambia","an african woman with strength and beauty",female,"hair: two purple bun, eyes:nose, teeth: none, clothing: adire, accessories: sunglasses, expression: jiggy, strengths: free spirit, weakness: blind ",24b537fa-59d3-11ed-9b6a-0242ac120002,fde5ea4873dc893479879d6be1152f5b0ee0dc0e4f7ecccc1d0e5c66cecf9fed
64,patrick-of-bikinibottom,"patrick of bikinibottom","a white man who loves the African culture and associates with their dressing",male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: confused, strengths: adaptation, weakness: fluency",064c7b84-59d3-11ed-9b6a-0242ac120002,42c6750ddcc499fc37068bed6d7e03a1f30d453547c193f75c34cb7e124244e8
65,nobuhle-of-zulu,"nobuhle of zulu","a woman well endowed with beauty",female,"hair: brown bun, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses, expression: astonished, strengths: cool headed, weakness: pressure",1ee5b1ce-59d3-11ed-9b6a-0242ac120002,fa3603d29c9a06e6a59b87a2c6e2a6997298edf56347592b93b5c7fd2bc589ab
66,nkosazana-of-xhosa,"nkosazana of xhosa","an african princess always proud of her culture",female,"hair: ginger afro, eyes:none, teeth: gap teeth, clothing:umbaco, accessories: sunglasses, expression: fufilled, strengths: confidence, weakness: endurance",2f1a1724-59d3-11ed-9b6a-0242ac120002,29741e24b21247e1d90a0ba46ad81191807191453f5ff9157c1088e59bc5c468
67,mandla-of-zulu,"mandla of zulu","a simple and an introvert who keeps to himself",male,"hair: bald, eyes: opened, teeth: none, clothing: eshowe, accessories: nose mask, expression: irritated, strength: strong willed, weakness: relationship",d04553b2-59d7-11ed-9b6a-0242ac120002,7cc2b63b30c67a75165c0be32341a4896b5d2605beabdf5c47b3396c9c6457c0
68,john-doe,"john doe","a principled guy who is conscious of his health and ensures protection from infection",male,"hair: bald, eyes: opened, teeth: none, clothing: ankara, accessories: nose mask, expressions: cold strength: cleaniness, weakness: perfectionist",5d19795e-59d2-11ed-9b6a-0242ac120002,56603e22d171c3ebe8e510ec0358c6f72ab188778223f888cbd2e6afee413909
69,ghost-of-power,"ghost of power","a woman stronger than ten men combined",female,"hair: black tied with scalf, eyes: none, teeth: none, clothing: iqoyi, accessories: sunglasses and pipe, espression: ruthless, strength: badass weakness: cancer",29c764ca-59d3-11ed-9b6a-0242ac120002,87688600b1f02a5340d4d3bebde6c9ce75a46fe88482711ea4f7f77377300d21
70,freida,freida,"a man who is always peaceful",male,"hair: bald, eyes: closed, teeth: none, clothing: overall, accessories: nose mask, expression: calm, strength: peaceful weakness: anger",ee671c4a-59d2-11ed-9b6a-0242ac120002,d8f7b3d8eaf1baf19e15bf7871905a6fbabafc68840342e8660a7b288e3c2e8d
71,flamboyant-tree,"flamboyant tree","beautiful african woman",female,"hair: one bun dark brown, eyes: none, teeth: none, clothing: kente, accessories: sunglasses, expression: happy, strength: beauty, weakness: lover girl",380e4990-59d3-11ed-9b6a-0242ac120002,5f73233db62abcbbc30983a58ee8379521f77b65230745920bca2a2382ef8644
72,david-of-accra,"david of accra","a combatant who fights and defends his people",male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: angry, strength: super powerful, weakness: sleeping",1c1ef1b4-59d1-11ed-9b6a-0242ac120002,774494994364b8d96be3e16800b6b79f330a460fa49ca382478afcefd6e3c6e1
73,cally-lily,"cally lily","a man who is a breath of fresh air",male,"hair: male, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: confused, strength: calm weakness: sun",82bba87c-59d1-11ed-9b6a-0242ac120002,1d2ce3f3de00b30cdeb2257747abe33aa10e32bc99c7cbe36d4530b55e251a64
74,bubune-of-accra,"bubune of accra","a man with honor, always conscious of his health",male,"hair: bald, eyes: closed, teeth: none, clothing: kente, accessories: nose mask, expression: happy,  strength: clean weakness: foodie",faa4b530-59d2-11ed-9b6a-0242ac120002,64a5af571203963fa84b3356e42136cedf0e732f18e45378acebaef12e762920
75,bediako-of-accra,"bediako of accra","a strong man always ready to fight for what is right",male,"hair: bald, eyes: opened, teeth: none, clothing: balck with kente, accessories: nose mask, expression: suspicious,  strength: activist, weakness: irrational",fb6e8222-59d0-11ed-9b6a-0242ac120002,7716691fd4250c9edfd4dfc36d732a52516214759f7957d73431c41df19e52f0
76,avatar-aang,"avatar aang","a man who is ready to save the world",male,"hair: bald, eyes: opened, teeth: none, clothing: kaftan, accessories: nose mask, expression: soothing, strength: mind games, weakness: insomia",169f93a0-59d2-11ed-9b6a-0242ac120002,582b76131bf6d8553c098af85ebae7b5d20775ecaf0d6b668d57a92e9b5704eb
77,argus-greek,"argus greek","a man who you will always find on the look out ",male,"hair: bald, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: suspicious, strength: strong , weakness: lateness",e7f26b26-59d2-11ed-9b6a-0242ac120002,8ab685201550252d096f5a1325b2dde2ab9db4eb25c6b9105b1e28fa25af7de6
78,amahle-of-zulu,"amahle of zulu","A traditional man, feeling fulfilled",male,"hair: bald, eyes: closed, teeth: none, clothing: ankara print, accessories: nose mask, expression: excited, strength: conversationist, weakness: traditionalist",169f93a0-59d2-11ed-9b6a-0242ac120002,e5947bab1d8d184ec96456b2665ceaac12edda73276875514c1cfd9780e83b11
79,agnar-ole,"agnar ole","a man who feels like an outcast and always has a battle with his mind",male,"hair: bald, eyes: opened, teeth: none, clothing: overall, accessories: nose mask, expression: furious, strength: strong willed, weakness: crying",f3f11fd0-59d2-11ed-9b6a-0242ac120002,893ef241bb82e631b74925293e00ac7830065a9b9f531af8b9cf245762d69ad0
80,adom-kulu,"adom kulu","a Ghanaian model, proud of his culture",male,"hair: bald, eyes: opened, teeth: none, clothing: kente, accessories: nose mask, expression: irritated,  strength: height,  weakness: pride",00f6589e-59d3-11ed-9b6a-0242ac120002,ac3caae3d0c87e59858593a00afba5de0a448fb924dc3242ef38f5412f4440e1
,,,,,,
"TEAM PRYBAR",,,,,,
81,segun-baller,"segun baller","a man who loves to party hard",,"Hair: Black Punk Hair, Eyes: Black Colour, Teeth: None, Clothing: Black shirt with white round neck and Ankara Jacket, Accessories: Green glasses with black frame, Expression: Cool , Strength: Jovial Weakness: Non-chalant. ",58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,5414fd3b1ed0c534f10c93b94a2e0c85f8a4a02c8857d8acfa4e031720e8b068
